"","cluster1","cluster2","cluster4","cluster5"
"CGGA_108",0.61531939914959,0.300160082831374,0.492382292640467,0.546283632181466
"CGGA_1082",-0.472058395222916,-0.448583356979784,-0.385360436112674,-0.508771112090278
"CGGA_1086",-0.159182871824546,-0.277864637766716,-0.43044883077181,-0.330330184981834
"CGGA_1087",-0.864317742632808,-0.514253583992318,-0.571069298063505,-0.524341381936955
"CGGA_1097",0.210230548157183,0.259554631489587,0.133589034305739,0.136940057073015
"CGGA_1100",-0.876512699410573,-0.619903566917798,-0.710083552981223,-0.622775852490179
"CGGA_1101",-0.769922184772459,-0.571886743326593,-0.713817370840084,-0.661159835511755
"CGGA_1103",-0.56933138306054,0.0347362360509653,0.125264268867978,0.460369998119755
"CGGA_1106",0.457046176039538,0.561695646305772,0.28513402249356,0.478097100997493
"CGGA_1108",0.622907414072678,0.647435976580991,0.535231913000579,0.626547446788813
"CGGA_1111",0.514408456257778,0.19873633188267,0.212974145345427,-0.134575447593144
"CGGA_112",-0.55828197514487,-0.0105211333247051,-0.108873069248558,0.256937523836597
"CGGA_1120",-0.745129530443219,-0.663321578630112,-0.64029695879546,-0.643590599572022
"CGGA_1121",-0.579031372837677,0.00115857043337475,0.251330634126952,-0.290662256538412
"CGGA_1126",-0.338427336134534,-0.278624809062178,-0.307369821938853,-0.372772641490847
"CGGA_1127",-0.314797985657922,-0.442853820529086,-0.436445457827618,-0.355475709732545
"CGGA_1130",0.330000821733477,-0.1035320038502,0.08606561274115,-0.324462660271534
"CGGA_1131",-0.703873451680823,0.129407348205166,-0.431397516345604,-0.294442387783081
"CGGA_1132",-0.572256855585268,0.166670379515332,-0.152578094337396,-0.460736051519498
"CGGA_1134",0.41338564364497,0.156729430590373,-0.0500062362876247,-0.402724938102891
"CGGA_1135",0.644810287619094,0.0591176720749359,0.128323586867757,-0.259975824411209
"CGGA_1137",-0.390699942979161,-0.590566944520911,-0.58134027952391,-0.49353761748821
"CGGA_1138",-0.618716610310211,-0.320489025964819,-0.52812576769118,-0.540999055111899
"CGGA_1141",-0.119438367086579,0.354353362547139,0.365633639689809,-0.14592533857304
